Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
0.933126552,0.315391791,1.595138623,0.185022438,-1.14444633,-1.212767083,-0.174798472,-0.272356348
0.933126552,4.452627016,0.511428373,-0.154870633,1.451492906,-0.879569627,3.299821544,2.608425709
-1.778772489,-0.855523839,0.692046748,-1.344496379,0.652742372,-1.046168355,0.747039491,0.542959329
0.255151791,0.783758043,0.993077373,-1.004603309,1.052117639,-0.879569627,0.286120509,1.032148735
-0.422822969,-0.465218629,-1.053930876,1.034755113,-0.944758696,-1.212767083,-0.954815211,-1.413798295
-0.422822969,-1.089706965,1.474726373,0.015075902,-0.146008162,0.120022739,0.250665203,-0.163647591
0.933126552,-0.543279671,0.391016124,0.015075902,0.253367105,0.619818923,-1.380278886,-0.109293213
1.611101312,-0.543279671,-2.498877876,2.22438086,-0.146008162,1.286213834,-2.5857593,-1.957342079
-0.422822969,-0.465218629,-1.114137001,-1.344496379,2.050555807,-1.212767083,1.597966842,1.19521187
2.289076072,0.003147623,0.210397749,0.354968973,0.852430006,-0.213174716,-0.493896229,-0.54412824
0.933126552,0.549574917,2.016581498,-0.324817168,-2.542259765,-1.212767083,0.85340541,2.282299439
0.255151791,3.515894512,0.150191624,0.694862043,1.451492906,0.453220195,0.995226635,1.466983762
0.933126552,0.627635959,1.294107998,-0.324817168,-0.944758696,0.286621467,-0.281164391,0.053769923
0.933126552,-0.855523839,-0.752900251,0.015075902,-1.14444633,1.119615106,-0.67117276,0.923439978
0.933126552,-0.074913419,0.631840623,-0.154870633,-1.14444633,-1.046168355,-0.245709085,0.16247868
-0.422822969,-0.465218629,-0.211045126,0.354968973,1.052117639,1.786010017,-0.812993986,-0.652836997
-0.422822969,0.081208665,0.872665123,-0.664710238,-1.344133963,-0.379773444,-0.564806842,-0.924608889
-1.100797729,0.393452833,0.812458998,-0.494763703,-0.745071063,-2.045760722,0.427941734,0.760376842
1.611101312,0.081208665,0.752252873,0.015075902,-0.345695796,0.953016378,-0.919359904,-1.142026403
1.611101312,-1.480012175,-0.391663501,-0.324817168,0.253367105,0.78641765,-0.919359904,-1.794278944
0.255151791,1.954673672,0.511428373,0.694862043,0.453054738,-0.7129709,2.023430517,0.542959329
-0.422822969,0.471513875,-1.475373751,-1.174549844,-0.146008162,-0.879569627,-1.380278886,-0.54412824
0.255151791,0.549574917,0.812458998,-0.324817168,-0.345695796,-0.379773444,0.286120509,0.706022464
-2.456747249,-0.465218629,0.029779374,-0.494763703,0.253367105,-1.046168355,0.215209897,-0.054938834
-1.100797729,-1.558073217,2.016581498,2.394327395,0.652742372,1.786010017,-0.458440923,-2.827012134
0.933126552,1.09600221,1.595138623,0.185022438,0.053679471,0.286621467,0.711584185,0.542959329
0.933126552,-1.011645923,0.571634498,0.015075902,-1.14444633,-0.213174716,-0.742083373,-0.870254511
-0.422822969,2.501100966,1.956375373,-0.154870633,1.850868173,-0.546372172,0.995226635,1.575692519
-1.778772489,-1.792256343,0.270603874,1.034755113,0.453054738,1.452812562,-0.706628067,-1.413798295
-1.100797729,-0.543279671,0.631840623,-0.834656774,-0.545383429,0.120022739,-0.67117276,-1.305089538
0.255151791,-1.011645923,-0.512075751,-1.174549844,0.253367105,-0.7129709,-0.67117276,-0.435419483
-0.422822969,3.281711386,1.474726373,-1.344496379,0.253367105,-1.212767083,2.732536643,2.064881925
