Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
-1.790736412,-0.974585689,-1.062158832,0.509935261,0.782026858,-0.521540975,-0.933532627,-2.458306007
-1.119357232,-1.199611338,-1.002108194,1.174942773,-1.318790793,1.473600995,-0.270163427,-1.555264632
-1.119357232,0.000525454,-0.82195628,0.676187139,0.591043435,0.309768179,-0.165420922,-0.227262609
1.566159488,2.700833235,1.940373078,-0.321324129,-0.936823948,-0.687802806,0.288463267,-0.28038269
-1.119357232,-0.749560041,0.319005847,-0.98633164,-2,-1.020326467,-0.549476775,-1.395904389
1.566159488,0.975636597,0.799410952,0.343683383,-2,-0.521540975,0.637604951,0.728898848
0.223401128,-0.074483096,-0.221449897,0.177431505,0.209076589,0.47603001,0.812175793,1.472579981
-1.790736412,-1.049594239,0.379056485,0.842439017,0.97301028,1.141077333,-0.828790122,-1.873985117
-0.447978052,-0.149491645,-0.581753727,1.008690895,-2,0.47603001,1.789772509,-0.652223256
1.566159488,0.000525454,0.739360314,0.011179627,-0.363873679,0.974815503,-0.933532627,-1.130303984
0.223401128,-0.299508744,-0.701855003,1.341194651,-1.509774216,0.47603001,-0.619305111,-0.545983094
1.566159488,0.825619498,1.640119887,1.839950285,0.018093166,-0.355279144,-0.619305111,-0.227262609
-0.447978052,0.375568201,-1.062158832,0.343683383,0.591043435,0.47603001,-1.038275132,-1.289664227
0.894780308,-0.674551491,-1.902867767,2.172454041,0.018093166,0.642291841,-0.793875953,-0.86470358
1.566159488,0.450576751,-2.203120959,2.338705919,-2,1.639862826,0.113892425,-0.758463418
0.223401128,-0.82456859,-0.341551174,-0.487576007,0.782026858,-1.020326467,-0.095592585,-0.439742932
2.237538668,0.000525454,-0.221449897,-2,-0.363873679,-2,-2,-2
-1.119357232,-0.074483096,0.979562867,0.676187139,-0.554857102,0.47603001,-0.270163427,-1.024063822
0.894780308,0.150542553,-1.062158832,1.008690895,-2,1.141077333,0.463034109,-0.174142528
0.223401128,1.125653696,-1.842817129,-2,-2,-2,-2,-2
-0.447978052,0.450576751,0.679309676,-0.155072251,0.591043435,1.473600995,0.358291604,-0.599103175
0.223401128,-0.299508744,-0.281500536,-2,-2,-2,-2,-2
-1.119357232,-0.299508744,0.439107123,0.343683383,-0.936823948,-0.022755482,0.463034109,-0.758463418
1.566159488,1.050645146,0.979562867,-2,-2,-2,-2,-2
-0.447978052,0.750610949,2.240626269,0.177431505,-2,-1.020326467,1.091489141,1.153859495
-1.119357232,-0.749560041,-0.701855003,0.343683383,-2,-0.355279144,-0.619305111,-1.024063822
-0.447978052,0.60059385,0.85946159,-1.152583518,1.545960549,-1.186588298,0.253549099,-0.439742932
-0.447978052,-0.89957714,-0.882006918,1.174942773,0.782026858,0.47603001,0.253549099,-0.758463418
0.223401128,-0.974585689,-0.161399259,0.011179627,0.018093166,0.143506348,-0.619305111,-0.970943742
-1.119357232,-0.374517293,0.439107123,1.341194651,-2,1.141077333,-1.073189301,-1.342784308
-1.119357232,-0.674551491,-2.383272873,-2,0.591043435,-2,-2,-2
0.894780308,0.5255853,1.279816058,-0.321324129,-0.936823948,0.309768179,-0.305077596,0.038337796
-0.447978052,0.375568201,0.258955208,1.008690895,-2,-2,-2,-2
-1.119357232,2.250781938,0.619259038,0.177431505,0.018093166,-0.687802806,-0.165420922,-0.86470358
1.566159488,1.725722092,1.700170526,1.507446529,0.400060012,1.307339164,-0.060678417,0.303938201
0.894780308,-0.599542942,0.379056485,1.174942773,-2.273707907,-0.189017313,-0.20033509,-0.121022447
-0.447978052,-0.524534392,-1.062158832,1.008690895,-0.936823948,-1.186588298,-0.968446795,-1.395904389
0.223401128,-0.749560041,-1.902867767,2.338705919,1.736943972,2.47117198,-1.492159322,-2.883266655
2.237538668,1.125653696,1.159714782,-0.487576007,0.018093166,-1.685373791,0.602690783,0.516418524
-0.447978052,0.5255853,0.319005847,-2,0.400060012,-2,-2,-2
0.223401128,-1.049594239,-0.761905641,-2,-0.172890256,-2,-2,-2
0.894780308,-0.524534392,-0.521703089,0.343683383,-0.745840525,-0.521540975,-1.038275132,-1.236544146
-0.447978052,-0.299508744,0.379056485,0.343683383,-0.745840525,-0.189017313,1.370802488,0.091457877
1.566159488,0.675602399,0.439107123,0.343683383,-1.700757639,-1.352850129,0.532862446,0.516418524
0.894780308,2.475807586,1.459967973,-2,-2,-2,-2,-2
0.223401128,-0.224500194,-2,1.174942773,-0.936823948,-1.020326467,-0.793875953,-1.342784308
1.566159488,0.450576751,0.379056485,0.177431505,-1.318790793,-0.854064637,-0.270163427,-1.077183903
0.223401128,0.300559652,0.919512229,-0.155072251,0.018093166,0.974815503,-0.409820101,-1.44902447
0.223401128,0.150542553,0.619259038,0.011179627,-0.936823948,-1.51911196,0.113892425,0.675778767
-1.119357232,-0.374517293,-0.161399259,1.174942773,0.018093166,0.47603001,0.916918299,-0.599103175
0.894780308,0.000525454,0.078803294,-2,-0.363873679,-2,-2,-2
-1.790736412,2.175773388,1.099664143,-1.318835396,0.209076589,-2.184159283,1.300974151,0.25081812
2.237538668,1.200662245,0.979562867,-0.155072251,-2,-1.020326467,0.323377436,0.410178362
0.894780308,0.975636597,-0.341551174,-2,0.209076589,-2,-2,-2
-0.447978052,-0.149491645,-0.942057556,2.172454041,3.264811354,2.138648318,-1.177931806,-1.767744955
0.223401128,0.150542553,1.039613505,1.008690895,-0.554857102,-0.687802806,1.964343351,1.950660709
0.223401128,-1.574654085,0.379056485,-0.155072251,-1.891741062,0.642291841,0.358291604,-0.811583499
1.566159488,-0.299508744,0.319005847,-2,-2,-2,-2,-2
-1.119357232,-0.82456859,-2.443323511,1.008690895,0.209076589,0.642291841,-1.701644332,-1.077183903
0.894780308,-0.374517293,0.258955208,-0.820079762,-0.363873679,-0.022755482,0.00914992,-0.386622851
-0.447978052,-1.124602788,-1.122209471,1.341194651,-0.936823948,1.307339164,-1.282674311,-0.652223256
1.566159488,1.050645146,1.399917334,-0.653827885,0.400060012,-0.854064637,0.463034109,-0.227262609
-1.119357232,-1.649662634,-0.641804365,0.509935261,0.400060012,-0.189017313,-0.724047617,-0.121022447
-0.447978052,0.150542553,0.078803294,-0.487576007,-1.12780737,-1.186588298,0.602690783,0.516418524
0.894780308,-0.149491645,-0.942057556,-2,-2,-2,-2,-2
-0.447978052,3.075875982,1.459967973,-1.318835396,0.209076589,-1.186588298,2.662626719,2.00378079
-1.119357232,-0.224500194,-0.882006918,1.174942773,-0.363873679,1.473600995,-2,1.4194599
0.894780308,0.375568201,-0.46165245,2.172454041,-2,1.307339164,-1.701644332,-0.917823661
-0.447978052,-0.974585689,-0.82195628,0.509935261,-0.363873679,1.141077333,-0.724047617,-0.545983094
-0.447978052,1.500696443,0.679309676,-0.155072251,0.018093166,-0.854064637,0.847089962,0.303938201
-0.447978052,-1.049594239,-1.122209471,-0.321324129,-0.363873679,0.309768179,-1.143017637,-1.820865036
0.223401128,-0.82456859,-0.041297983,0.842439017,-0.172890256,-0.189017313,-2,-2
-1.790736412,-0.599542942,-1.422462662,-1.318835396,0.400060012,-1.51911196,0.253549099,0.303938201
2.237538668,1.650713542,-1.002108194,0.842439017,-2,-0.687802806,1.370802488,1.578820143
0.894780308,-0.149491645,-1.002108194,0.343683383,0.400060012,1.307339164,-0.270163427,-0.439742932
-1.119357232,-0.149491645,-0.701855003,0.343683383,1.736943972,0.309768179,-1.387416816,-1.44902447
1.566159488,2.250781938,0.919512229,-1.152583518,-0.936823948,-1.685373791,-2,-2
0.223401128,-0.374517293,1.21976542,0.011179627,-0.936823948,-0.022755482,2.278570866,2.163141033
